model,c_index_mean,c_index_lo,c_index_hi
Risk Score Only,0.7029884151320257,0.6507673830108794,0.755635808899429
Nomogram (full),0.7257479635343802,0.673285556397801,0.7742408401116587
Stage Only,0.5974532726872678,0.5396811736132762,0.6523359445517316
