cancer,full_name,n,events,genes_available,c_index,HR,HR_lower,HR_upper,logrank_p,cox_p
KIRC,Kidney Renal Clear Cell Carcinoma,529,173,11,0.57958260439308,1.7311222147504135,1.3990174813293967,2.142063385480162,0.0012032374335556246,4.426710641428896e-07
LUSC,Lung Squamous Cell Carcinoma,494,211,11,0.5038281012974497,0.9598926086236818,0.7550505050090971,1.2203075343672216,0.7108075278677033,0.7382015607940148
STAD,Stomach Adenocarcinoma,388,156,11,0.481655998910527,0.8760325068162045,0.6184503767410688,1.2408965728870276,0.6171904130213308,0.4562603283433353
PAAD,Pancreatic Adenocarcinoma,177,93,11,0.5250507424420467,1.430584698382567,0.8833743947392739,2.3167669240066457,0.3105819493223139,0.14544533567071405
