Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,library
prerank,Interferon Gamma Response,0.41887652300476835,1.9085807388060843,0.0,0.00027661525379449537,0.003,83/197,24.68%,RIPK2;MVP;PSMB2;CASP8;SOD2;ICAM1;IL15RA;IFI35;HLA-DMA;IFI30;TRIM25;METTL7B;PSMB9;CD74;SP110;RNF213;TAP1;HLA-A;PFKP;CASP4;NUP93;PSMB8;ST3GAL5;FCGR1A;TRIM21;IL15;CASP1;PARP12;IRF1;NMI;UBE2L6;PNPT1;ISG15;TNFAIP3;PSMA3;RBCK1;PML;TAPBP;IFI44;IFITM3;PSMB10;LGALS3BP;SPPL2A;SAMD9L;IFITM2;CIITA;NLRC5;CD40;ZNFX1;EIF2AK2;BST2;IL7;B2M;MX2;HLA-B;SOCS1;PARP14;IFIT3;STAT3;UPP1;PIM1;CCL7;CD86;PTPN1;ADAR;GBP4;IFNAR2;PSME2;OAS3;IDO1;IL10RA;BATF2;SOCS3;GBP6;CASP7;IFIH1;PTPN6;LAP3;MARCHF1;CXCL11;MX1;IRF5;EPSTI1,MSigDB_Hallmark_2020
prerank,TNF-alpha Signaling via NF-kB,0.4040489329218417,1.8289869488519672,0.0,0.0006761706203865442,0.008,65/197,17.13%,SQSTM1;TNIP1;RIPK2;PHLDA2;NFKB2;CSF1;SOD2;ICAM1;BIRC3;MYC;CCL20;MSC;IL15RA;IER5;ZC3H12A;CD44;TNFSF9;TNIP2;SNN;KYNU;KLF4;TAP1;IER3;DNAJB4;TGIF1;MAFF;LITAF;RELB;YRDC;TUBB2A;CLCF1;CD80;MAP3K8;CXCL3;IRF1;OLR1;NFKBIE;DENND5A;SPSB1;TNFAIP3;DRAM1;DUSP5;IL1B;TNFAIP8;EHD1;PLEK;TNFRSF9;RNF19B;BCL6;PLAUR;LIF;IL18;EIF1;SERPINE1;SERPINB8;CCL4;BCL2A1;BMP2;CXCL6;TNF;CXCL1;TRIP10;BCL3;MARCKS;CD83,MSigDB_Hallmark_2020
prerank,Glycolysis,0.39224175938813993,1.7784113450022152,0.0,0.0011702953045151726,0.015,49/196,10.93%,ME1;TALDO1;G6PD;ENO1;TXN;ABCB6;GNPDA1;AK4;ALG1;ALDOA;RRAGD;P4HA2;EFNA3;VLDLR;GLRX;PLOD1;CD44;MED24;PGK1;HAX1;NOL3;PPFIA4;B3GAT3;PMM2;HMMR;SLC16A3;SPAG4;IER3;IDH1;PFKP;PLOD2;POLR3K;KIF2A;PPIA;PYGB;MIF;B4GALT7;GCLC;PSMC4;KDELR3;RPE;KIF20A;TSTA3;SAP30;STC2;HOMER1;DPYSL4;HK2;RBCK1,MSigDB_Hallmark_2020
prerank,Bile Acid Metabolism,-0.37419269906479735,-1.7737680879066817,0.0,0.006755825175789328,0.007,39/112,16.79%,SERPINA6;AGXT;CYP46A1;APOA1;GNMT;PEX13;GC;PHYH;AKR1D1;ALDH8A1;EPHX2;CROT;CAT;ABCG8;NR3C2;PEX11G;HSD17B6;PECR;CYP7A1;SLC29A1;BBOX1;PEX11A;ABCA8;RXRA;PIPOX;PEX1;PXMP2;NR1H4;SLC27A5;TTR;CYP8B1;PAOX;HAO1;ABCA9;NR1I2;LIPE;SCP2;IDH2;SLC27A2,MSigDB_Hallmark_2020
prerank,Protein Secretion,0.4247423958828752,1.7501324106242442,0.0029239766081871343,0.0013040433393169066,0.018,38/95,25.87%,GLA;SNX2;ATP6V1H;CTSC;SCAMP3;TPD52;PPT1;RAB2A;RPS6KA3;AP3B1;AP3S1;CLTC;CLTA;CD63;ARFGEF1;ANP32E;SCRN1;VPS45;KRT18;IGF2R;BNIP3;GOSR2;M6PR;TSPAN8;SEC24D;RER1;VAMP3;TSG101;SOD1;KIF1B;SNAP23;COPB1;SCAMP1;STX12;AP2B1;YIPF6;SEC31A;YKT6,MSigDB_Hallmark_2020
prerank,UV Response Dn,-0.35063699885579497,-1.7049885414423207,0.0,0.0077209430580449465,0.016,55/137,22.13%,DYRK1A;PTPN21;VAV2;DLC1;PLCB4;FBLN5;ARHGEF9;ERBB2;ACVR2A;FYN;NFIB;MIOS;SYNE1;PDLIM5;ATRN;DUSP1;PRKCE;KALRN;LTBP1;NOTCH2;SIPA1L1;SMAD7;CDKN1B;RXRA;YTHDC1;TJP1;AKT3;MAGI2;PDGFRB;APBB2;GJA1;DLG1;ZMIZ1;PTEN;AMPH;CACNA1A;BMPR1A;MGMT;MAP1B;SYNJ2;EFEMP1;DBP;PHF3;BCKDHB;PTGFR;PRDM2;NIPBL;PTPRM;MTA1;CDK13;PMP22;DDAH1;NR1D2;MGLL;ANXA4,MSigDB_Hallmark_2020
prerank,Coagulation,-0.3524709058921231,-1.703831613258519,0.0,0.005790707293533711,0.017,52/136,21.24%,KLKB1;TMPRSS6;HMGCS2;APOA1;C3;CAPN5;PROZ;APOC3;C8B;F2;TF;FYN;HRG;PROC;C2;F11;HPN;ANG;CTSH;F10;RGN;F12;MST1;CTSO;RAPGEF3;ITIH1;CSRP1;CFB;CRIP2;CPN1;CLU;PDGFB;F9;CPB2;FURIN;PLAT;ACOX2;FBN1;TFPI2;GP1BA;HTRA1;THBD;APOC2;SERPINC1;TIMP3;PLG;SERPING1;SPARC;VWF;C8A;DCT;LEFTY2,MSigDB_Hallmark_2020
prerank,UV Response Up,0.37192948683764,1.6380444133008256,0.0,0.004665577280667155,0.069,55/152,21.74%,SQSTM1;ATP6V1C1;GRINA;ALDOA;STIP1;LYN;TUBA4A;SOD2;CDKN2B;ICAM1;BID;CYB5R1;E2F5;PPT1;HMOX1;GPX3;GGH;TAP1;CYP1A1;PDLIM3;PPAT;IRF1;STARD3;UROD;BAK1;SHOX2;PRPF3;CYB5B;POLG2;PRKCD;IGFBP2;BMP2;HNRNPU;TFRC;DNAJA1;ASNS;ABCB1;RRAD;CLCN2;MAPK8IP2;CLTB;ATP6V1F;CREG1;CHRNA5;CCND3;PPP1R2;HLA-F;SLC6A8;ENO2;RFC4;AMD1;EIF2S3;TACR3;SULT1A1;FKBP4,MSigDB_Hallmark_2020
prerank,IL-2/STAT5 Signaling,0.35955966510547765,1.6367726478506635,0.0,0.004373978700625458,0.069,58/194,17.77%,SPP1;UCK2;ITGAV;CSF1;RRAGD;ST3GAL4;PUS1;MAPKAPK2;MYC;RNH1;SLC1A5;PTRH2;CD44;PLEC;ADAM19;CDC42SE2;NOP2;SYNGR2;ETV4;BATF;TNFRSF18;MAFF;ITGA6;F2RL2;IFNGR1;MAP3K8;TNFRSF21;WLS;AHR;DENND5A;SWAP70;PRNP;CKAP4;HK2;IFITM3;PDCD2L;RABGAP1L;CTLA4;TNFRSF4;P2RX4;TNFRSF9;LIF;IGF2R;BMP2;NDRG1;CDC6;UMPS;SOCS1;IL2RA;ICOS;ABCB1;PIM1;TTC39B;ODC1;CD83;CD86;GBP4;NFKBIZ,MSigDB_Hallmark_2020
prerank,Apoptosis,0.3593911247061321,1.6171689375863219,0.0013908205841446453,0.005369590220716675,0.087,56/158,20.45%,SQSTM1;DAP3;RNASEL;CASP8;GSR;SOD2;BIRC3;BID;ETF1;PPT1;HMOX1;GPX3;TNFRSF12A;LEF1;CD44;LMNA;TSPO;PTK2;TAP1;IER3;CASP4;GPX1;DFFA;IFNGR1;BCAP31;CASP1;IRF1;GNA15;HSPB1;RHOT2;IFITM3;IL1B;DAP;KRT18;IL18;IGF2R;DDIT3;BMP2;PAK1;NEFH;DNAJA1;CDC25B;TNF;PEA15;BCL10;TOP2A;IL1A;PSEN2;BRCA1;MCL1;EREG;CFLAR;SLC20A1;ENO2;PMAIP1;SOD1,MSigDB_Hallmark_2020
