covariate,coef,HR,HR_lower,HR_upper,p_value
risk_score,1.4165950364002664,4.123057650974157,2.5763213904640385,6.598402069003752,3.537743694308216e-09
age_years,-0.0009550387895683894,0.9990454171148294,0.9791238836090677,1.0193722798172995,0.9259576120217577
male,-0.6592596077144804,0.5172341489314587,0.3092941281609008,0.8649733068378056,0.011975355025092022
stage_num,0.2918799563995568,1.338942276539855,0.9904749973141306,1.8100067389557248,0.0577306387845044
grade_num,-0.21903491703630057,0.8032936690297316,0.5595860178631689,1.1531394604306096,0.2350393315326182
