score,n_genes,high_mean,low_mean,mannwhitney_p,spearman_r,spearman_p
Dysfunction,8,-0.007342360740591504,0.0073423607405914935,0.37297170576637284,0.01926108652316465,0.7388588989445599
Exclusion,10,-0.010635238182369715,0.010635238182369753,0.8094146813058737,-0.025311776298749325,0.6613008617945069
Cytolytic,6,-0.012321857516050276,0.012321857516050227,0.2711266994226277,-0.035707478252610635,0.5364740556783939
