signature,n_genes_total,n_genes_available,n,events,c_index,ci_lo,ci_hi,HR,HR_lower,HR_upper,logrank_p
Our ROS/Ferroptosis (11-gene),11,11,302,129,0.6999127119033399,0.652049414127719,0.7458738946145198,3.3980894530432986,2.555731592564823,4.518084748991977,3.904357774790883e-06
Hong 8-gene OS,8,8,302,129,0.7023935314926264,0.6574669921322748,0.7496866478111228,2.828505307391476,2.1710300054182308,3.6850906039875433,1.9289734105152504e-08
Buffa hypoxia (15-gene),15,15,302,129,0.6095006202048974,0.5514892206770843,0.6602032285512308,1.525185693313001,1.1327491933561586,2.053580274195136,0.012403178204089722
MKI67 proliferation (4-gene),4,4,302,129,0.6374328111361235,0.5849877293716265,0.6903376578781445,1.4652683366372314,1.2252782140110272,1.7522643215235656,0.0007137915204178189
