subgroup,n,events,c_index,HR,HR_lower,HR_upper,logrank_p
Stage I-II,205,67,0.6882143296055057,3.366036442966241,2.273338149598364,4.983948972737978,0.0013316806377795245
Stage III-IV,74,46,0.7106288258208124,3.0971324232801614,1.891760829607449,5.070529581333855,4.5915773910671804e-05
Age ≤60,137,51,0.7385952208544533,5.147888650817347,2.933587820658152,9.033565443174147,0.0027588019893466965
Age >60,159,73,0.664753706360593,2.8579715198594884,1.9586128752489158,4.170298945517705,0.0027621383035095408
Male,200,78,0.7422999040818502,4.143053795070834,2.948086741473925,5.82238456805687,1.8472645398886192e-06
Female,102,51,0.633819018404908,2.238481300892241,1.1760022094271598,4.260875102339323,0.0847548129080788
