,TXNRD1,MAFG,G6PD,SQSTM1,SLC7A11,GSR,NCF2,MSRA,HMOX1,GLRX2,BACH1
Hepatocyte,-0.2209331733815832,-0.3998533073698561,-0.4179596305541535,-0.12357231190765554,-0.33903101599688523,-0.12260075097738814,-0.20907751596703752,0.3095421442872544,-0.09391922668978084,0.02067660512611735,-0.0045800602149938
Cholangiocyte,-0.29041894970778026,-0.1539508002416268,0.08540173064192078,-0.17609716132115733,-0.07516288079174863,-0.06740606955461338,0.24153331484608279,-0.2164805488491469,-0.05884805549486326,-0.19387282636363662,-0.019844023081325098
Macrophage/Kupffer,0.096113734495053,0.09528899689819371,0.3217284809601288,0.08019233420998918,0.1564966990342453,0.1541054657708846,0.5672759108873858,0.07554409045885778,0.5967952430982687,-0.05893541526228753,0.12344640109651327
T cell,-0.03765757095390075,-0.11298970428604323,0.15707286554489863,-0.10872398542135792,0.010460183370164489,0.04892637071236112,0.4773407375280223,0.0784409104702246,0.43691726766568983,-0.12614042694879482,0.1366792352377743
B cell,-0.13808082494681279,-0.03291326388850333,0.1579690714653949,-0.09032903570062076,-0.050037359357811145,-0.09714107273190932,0.41261347631400885,0.03163476798697692,0.37759022583457263,-0.13713019137140428,0.12170893229472222
Endothelial,-0.06871658761660639,-0.22413583903108802,-0.27517197826578993,-0.09344346680823283,-0.07113264520235688,-0.06761955155274389,0.08621557630009993,0.3441597751555315,0.14258092329221483,-0.012396770278423109,-0.010609401790765425
Fibroblast,-0.0657465737773091,-0.007157964261806481,0.09685482200284891,-0.07303589481959792,0.035564797729597135,0.05241701922056852,0.46036238351343883,-0.08121704780101562,0.1716096825849446,-0.14433889791649257,0.05109081676687614
