signature,n_genes,spearman_r,spearman_p,high_mean,low_mean,mannwhitney_p
IFNg_signature,13,0.06239926318213217,0.27972364430085245,-0.0030472101421240446,0.0030472101421240815,0.607257079952592
T_cell_inflamed_GEP,16,0.08478306852488951,0.14158602694449682,0.012640389180719547,-0.012640389180719558,0.41536958252387324
Innate_anti_PD1,6,0.028954476270931315,0.6162348827028473,0.00815909543867991,-0.008159095438679927,0.7981991517950097
